first_name,last_name,district,image_url,youtube_url,blurb,control,x,y,rank_district,status
Ilhan,Omar,MN05,http://s3.amazonaws.com/usites.democracyforamerica.com/ee-test/candidates/IlhanOmar.jpg,https://www.youtube.com/watch?v=VlAxDVhUf-s,"In 2016, Ilhan became the first Somali-American, Muslim legislator in the United States. Ilhan is looking to make history yet again as she seeks to become the first Somali-American elected to Congres.",D held ,,,1,Solid D
Deb,Haaland,NM01,http://s3.amazonaws.com/usites.democracyforamerica.com/ee-test/candidates/DebHaaland.jpg,https://www.youtube.com/watch?v=AKxj7PXT0hs,Deb Haaland's bold progressive platform helped her win a heavily contested primary election with 40% of the vote. She is now poised to become the first Native American woman to serve in Congress.,D held ,,,1,Solid D
Ayanna,Pressley,MA07,http://s3.amazonaws.com/usites.democracyforamerica.com/ee-test/candidates/AyannaPressley.jpg,https://www.youtube.com/watch?v=mLiJIIZ1WqI,"In 2010, Ayanna Pressley became the first women of color to serve on the Boston City Council. She's now running for Congress to fight for families who are struggling and to shake-up the status quo. ",D held ,,,1,Solid D
Rashida,Tlaib,MI13,http://s3.amazonaws.com/usites.democracyforamerica.com/ee-test/candidates/RashidaTlaib.jpg,https://www.youtube.com/watch?v=jmVPTOsx3Ak,"In 2008, Rashida Tlaib made history as the first Muslim woman to serve in the Michigan Legislature. She's running on a platform of concrete solutions, from environmental justice to consumer protections and civil rights, and is on her way to becoming the first Muslim woman in Congress.",D held ,,,1,Solid D
Joe,Neguse,CO02,https://s3.amazonaws.com/microsite-assets.democracyforamerica.com/dfa-rails-2015-production/endorsed_candidates/images/000/000/461/medium/Headshot.png,https://www.youtube.com/watch?v=ITG8zBpimwA,"The son of refugees, Joe is fighting for civil rights, education, and to become Colorado's first African-American member of Congress. After winning his primary with over 60% of the vote, he's well on his way to making history.",D held ,,,1,Solid D
Mike,Levin,CA49,http://s3.amazonaws.com/usites.democracyforamerica.com/ee-test/candidates/MikeLevin.jpg,https://www.youtube.com/watch?v=ffBITPcmYR8,"Mike Levin has spent decades as a champion of progressive causes from the local to the federal level. Now, he's running for Congress with bold ideas to make California a clean energy powerhouse. ",R held,,,2,Lean D
Jahana,Hayes,CT05,https://s3.amazonaws.com/microsite-assets.democracyforamerica.com/dfa-rails-2015-production/endorsed_candidates/images/000/000/557/medium/Hayes.jpg,https://www.youtube.com/watch?v=QeWjRRYtqlA,"In 2016, Jahana Hayes was the National Teacher of the Year — and in 2018, she's campaigning to become Connecticut's first African-American congresswoman. Her historic run focuses on issues affecting children and families, from education to Medicare for All, common sense gun legislation, and passing the DREAM Act.",D held ,,,1,Solid D
Alexandria,Ocasio-Cortez,NY14,http://s3.amazonaws.com/usites.democracyforamerica.com/ee-test/candidates/AlexandriaOcasio-Cortez.jpg,https://youtu.be/rq3QXIVR0bs,"An outspoken Democratic Socialist, Alexandria has become the face of a movement since her historic upset victory over an entrenched, establishment-backed opponent. As a working-class woman of color, she's fighting to give Queens and the Bronx a representative they can count on and relate to.",D held ,,,1,Solid D
James,Thompson,KS04,https://s3.amazonaws.com/microsite-assets.democracyforamerica.com/dfa-rails-2015-production/endorsed_candidates/images/000/000/458/medium/JT_Headshot_Resized.jpg,https://www.youtube.com/watch?v=vCqzpxQ599A,James Thompson is leading the way as a staunch progressive in the Kansas heartland. His landslide victory in the primaries showed America the potential for real change in every corner of the country.,R held,,,4,Lean R
Jess,King,PA11,http://s3.amazonaws.com/usites.democracyforamerica.com/ee-test/candidates/JessKing.jpg,https://www.youtube.com/watch?v=OjDMETEIpiQ,"Pennsylvania is the largest state with no women in Congress, and Jess King is seeking to change that. The local nonprofit leader is campaigning on a platform of free higher education, Medicare for All, and criminal justice reform.",Open / Vacant,,,4,Lean R
Dana,Balter,NY24,https://s3.amazonaws.com/microsite-assets.democracyforamerica.com/dfa-rails-2015-production/endorsed_candidates/images/000/000/546/medium/21014113_322016291542058_3086506348491788045_o.jpg,https://www.youtube.com/watch?v=1ea9Jcfwg44,"From research- and experience-backed education policy to government accountability reforms, Dana Balter is fighting for the future of NY's 24th district. After a landslide win in the primaries, she's gaining ground in a crucial battle for turnout against the Republican incumbent.",R held,,,4,Lean R
Katie,Porter,CA45,https://s3.amazonaws.com/microsite-assets.democracyforamerica.com/dfa-rails-2015-production/endorsed_candidates/images/000/000/496/medium/Headshot_Katherine_Porter.jpg,https://www.youtube.com/watch?v=c3VU8fm1JsY,"Facing off against a longtime Republican incumbent, Katie Porter is fighting hard to flip Orange County blue. The former law professor is a fearless advocate for women, civil rights, and curtailing corporate greed.",R held,,,3,Toss-Up
Randy,Bryce,WI01,http://s3.amazonaws.com/usites.democracyforamerica.com/ee-test/candidates/RandyBryce.jpg,https://youtu.be/F6zAyPRbels,"Army veteran, cancer survivor, and ironworker Randy ""Iron Stache"" Bryce has spent decades as a union organizer and community activist. Now, he's running to replace Paul Ryan's House seat with a progressive focused on economic and social justice.",R held,,,4,Lean R
Ammar,Campa-Najjar,CA50,http://s3.amazonaws.com/usites.democracyforamerica.com/ee-test/candidates/AmmarCampa-Najjar.jpg,https://www.youtube.com/watch?v=DWrYmPuly4M,"The son of a Middle Eastern immigrant father and a Mexican-American mother, Ammar is fighting for progressive change from immigration policy to Medicare For All. With his opponent Duncan Hunter under investigation for massive campaign finance fraud, this is a crucial opportunity to flip the district blue.",R held,,,4,Lean R
Gina,Ortiz Jones,TX27,http://s3.amazonaws.com/usites.democracyforamerica.com/ee-test/candidates/GinaOrtiz-Jones.jpg,https://www.youtube.com/watch?v=gCYJ8O9DyBw,"Gina Ortiz Jones is making waves with her historic run in Texas: she'd be the state's first out lesbian, first Iraq War veteran, and the country's first Filipina ever elected to Congress. She's fighting to flip her distrct blue and become a vocal progressive advocate for marginalized communities.",R held,,,2,Lean D
Lauren,Underwood ,IL14,http://s3.amazonaws.com/usites.democracyforamerica.com/ee-test/candidates/LaurenUnderwood.jpg,https://www.youtube.com/watch?v=9kmnliJja-8,"A registered nurse appointed by President Obama as a Senior Advisor in public health, Lauren is passionate about healthcare access for her community and for the country. In addition to her bold progressive platform, she would be the first woman and the first person of color to represent her district in Congress.",R held,,,,
"Jesus ""Chuy""",Garcia,IL04,http://s3.amazonaws.com/usites.democracyforamerica.com/ee-test/candidates/JesusChuyGarcia.jpg,https://www.youtube.com/watch?v=eL2UDXC3kS4,"Jesus ""Chuy"" Garcia has been a fixture in Chicago politics for decades — and now he's bringing his progressive fight to the national level. After a landslide victory in the primaries, he's poised to usher in a new era with his platform on immigration reform, Medicare for All, and affordable housing. ",D held ,,,,Solid D
Liz,Watson,IN09,http://s3.amazonaws.com/usites.democracyforamerica.com/ee-test/candidates/LizWatson.jpg,https://www.youtube.com/watch?v=AOmPDFPKi4Q,"One of the DCCC's ""Red to Blue"" candidates, Liz Watson is an essential progressive voice in the mission to flip Indiana blue. From introducing the $15 minimum wage bill in Illinois to fighting for women's rights in the courtroom, she's a changemaker — and will continue to be, as the first woman to represent her district in Congress.",R held,,,,
Kara,Eastman,NE02,http://s3.amazonaws.com/usites.democracyforamerica.com/ee-test/candidates/KaraEastman.jpg,https://www.youtube.com/watch?v=tS4IakFkgrs,"Kara Eastman is a progressive champion hoping to become a strong Democratic voice in the Midwest. She's running a crucial campaign to flip her district blue, unseating a Republican incumbent who supports the Keystone XL pipeline and hawkish immigration policy.",R held,,,,
Jessica,McClure,NE01,http://s3.amazonaws.com/usites.democracyforamerica.com/ee-test/candidates/JessicaMcClure.jpg,https://www.youtube.com/watch?v=qdqpKyYEr74,"After a landslide primary victory, chemist and regulatory advocate Jessica McClure is facing off against a deeply conservative incumbent to become the first Democratic congresswoman in Nebraska's history. She's using her scientific background and progressive platform to support environmental regulations, healthcare expansion, education, and civil rights.",R held,,,,
Jill,Schiller ,OH02,http://s3.amazonaws.com/usites.democracyforamerica.com/ee-test/candidates/JillSchiller.jpg,,"Former Obama staffer Jill Schiller is running to become the first Democratic congresswoman in Ohio's 2nd District. With her plans for Medicaid expansion, civil rights, and gun violence prevention, she's fighting to mobilize progressive energy in the heart of Trump country. ",R held,,,,
Danielle,Mitchell,TN03,http://s3.amazonaws.com/usites.democracyforamerica.com/ee-test/candidates/DanielleMitchell.jpg,https://www.youtube.com/watch?v=bgTrLZogY3E,"With over a decade of medical experience to back it up, Dr. Danielle Mitchell is putting healthcare at the center of her platform, from expanding the ACA to fighting for lower prescription drug prices. Her election would be a crucial step towards flipping Tennessee blue, and would make her the first Democratic congresswoman in the state's history. ",R held,,,,
Veronica,Escobar,TX16,http://s3.amazonaws.com/usites.democracyforamerica.com/ee-test/candidates/VeronicaEscobar.jpg,https://www.youtube.com/watch?v=oTu5bNzLkqI,"With Beto O'Rourke leaving his seat to challenge Ted Cruz, Judge Veronica Escobar is stepping up to ensure it's filled by a strong progressive who will stand up for El Paso's border community. This historic run would also make her the first Latina ever elected to Congress in Texas, a long-overdue step toward representation.",D held ,,,,
Adrienne,Bell,TX14,http://s3.amazonaws.com/usites.democracyforamerica.com/ee-test/candidates/AdrienneBell.jpg,https://www.youtube.com/watch?v=GRftSzY30jM,"A teacher and an organizer with Wendy Davis campaign, Adrienne Bell ",R held,,,,
JD,Scholten,IA04,http://s3.amazonaws.com/usites.democracyforamerica.com/ee-test/candidates/JDScholten.jpg,https://www.youtube.com/watch?v=P5hteFPcQt0,"JD Scholten is a 5th generation Iowan and a former baseball player, running to unseat Steve King, one of the worst and most bigoted Republicans in Congress. ",R held,,,,
Lucy,McBath,GA06,http://s3.amazonaws.com/usites.democracyforamerica.com/ee-test/candidates/LucyMcBath.png,https://www.youtube.com/watch?v=oLGp0XZgduY,Lucy McBath's 17 year old son was killed in an horrific shooting ,R held,,,,
Sharice,Davids,KA03,http://s3.amazonaws.com/usites.democracyforamerica.com/ee-test/candidates/ShariceDavids.jpg,https://www.youtube.com/watch?v=vGa5qQsYY-g,"Raised by a single mom in Kansas, Sharice Davids went on to attend Cornell Law School, praticed law in Kansas and became a White House Fellow. Now she's running to a strong progressive campaign flip control of the Kansas 3rd Congressional District, and could be the first Native American elected to Congress. ",R held,,,,